"identifier" "study_id" "species" "duration" "dose" "dose_interval" "target_organ" "description" "adverse" "reversible" "extra_info"
"34" "Compound 4" "Study 19" "rat" 8 "400 male/ 150 female" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"35" "Compound 4" "Study 19" "rat" 8 "100 male/30 female" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"36" "Compound 4" "Study 21" "rat" 4 "100" "day" "liver" "hepatocyte hypertrophy" "no" "NA" "NA"
"37" "Compound 4" "Study 21" "rat" 4 "600" "day" "liver" "hepatocyte hypertrophy, minimal-hepatocyte vacuolation, increased mitosis" "no" "NA" "NA"
"38" "Compound 4" "Study 21" "rat" 4 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "NA" "secondary"
"39" "Compound 4" "Study 21" "rat" 4 "600" "day" "thyroid gland" "follicular hypertrophy" "no" "NA" "secondary"
"40" "Compound 4" "Study 21" "rat" 4 "600" "day" "pituitary gland" "hypertrophy" "no" "NA" "secondary"
"41" "Compound 4" "Study 21" "rat" 4 "600" "day" "mammary gland" "minimal-hyperplasia" "no" "NA" "NA"
"42" "Compound 5" "Study 25" "minipig" 4 "350" "day" "thyroid gland" "minimal-follicular hypertrophy" "no" "r" "NA"
"43" "Compound 6" "Study 27" "dog" 39 "20" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "NA" "NA"
"44" "Compound 6" "Study 27" "dog" 39 "60" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "NA" "NA"
"45" "Compound 6" "Study 27" "dog" 39 "20" "day" "prostate gland" "incomplete maturation" "yes" "NA" "NA"
"46" "Compound 6" "Study 27" "dog" 39 "60" "day" "prostate gland" "incomplete maturation" "yes" "NA" "NA"
"47" "Compound 6" "Study 28" "rat" 26 "300" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"48" "Compound 6" "Study 28" "rat" 26 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"49" "Compound 6" "Study 29" "dog" 13 "20" "day" "thyroid gland" "minimal-follicular hypertrophy" "no" "NA" "NA"
"50" "Compound 6" "Study 29" "dog" 13 "60" "day" "thyroid gland" "minimal-follicular hypertrophy" "no" "NA" "NA"
"51" "Compound 6" "Study 29" "dog" 13 "60" "day" "liver" "hepatocyte hypertrophy" "no" "NA" "NA"
"52" "Compound 6" "Study 30" "rat" 13 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "tr" "NA"
"53" "Compound 6" "Study 30" "rat" 13 "300" "day" "thyroid gland" "follicular hypertrophy" "no" "tr" "NA"
"54" "Compound 6" "Study 30" "rat" 13 "300" "day" "kidney" "minimal-increased hyaline droplets" "no" "tr" "NA"
"55" "Compound 6" "Study 31" "dog" 4 "60" "day" "liver" "hepatocyte vacuolation,hepatocyte glycogen vacuolation" "no" "r" "NA"
"56" "Compound 6" "Study 32" "rat" 4 "100" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"57" "Compound 6" "Study 32" "rat" 4 "300" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"58" "Compound 6" "Study 32" "rat" 4 "30" "day" "kidney" "increased hyaline droplets" "no" "r" "NA"
"59" "Compound 6" "Study 32" "rat" 4 "100" "day" "kidney" "increased hyaline droplets" "no" "r" "NA"
"60" "Compound 6" "Study 32" "rat" 4 "300" "day" "kidney" "increased hyaline droplets" "no" "r" "NA"
"61" "Compound 6" "Study 32" "rat" 4 "10" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"62" "Compound 6" "Study 32" "rat" 4 "30" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"63" "Compound 6" "Study 32" "rat" 4 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"64" "Compound 6" "Study 32" "rat" 4 "300" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"65" "Compound 7" "Study 33" "rat" 26 "150" "day" "sciatic nerve" "axonal degeneration" "yes" "NA" "NA"
"66" "Compound 7" "Study 33" "rat" 26 "150" "day" "nerve,peroneal" "axonal degeneration" "yes" "NA" "NA"
"67" "Compound 7" "Study 33" "rat" 26 "150" "day" "nerve,tibial" "axonal degeneration" "yes" "NA" "NA"
"68" "Compound 7" "Study 33" "rat" 26 "150" "day" "nerve,sural" "axonal degeneration" "yes" "NA" "NA"
"69" "Compound 7" "Study 33" "rat" 26 "150" "day" "spinal cord,cervical" "axonal degeneration" "yes" "NA" "NA"
"70" "Compound 7" "Study 33" "rat" 26 "150" "day" "spinal cord,thoracic" "axonal degeneration" "yes" "NA" "NA"
"71" "Compound 7" "Study 33" "rat" 26 "150" "day" "ganglion,cervical" "neuron vacuolation" "yes" "NA" "NA"
"72" "Compound 7" "Study 33" "rat" 26 "150" "day" "ganglion,dorsal root" "neuron vacuolation" "yes" "NA" "NA"
"73" "Compound 8" "Study 37" "marmoset" 13 "20" "day" "liver" "hepatocyte glycogen vacuolation" "no" "NA" "NA"
"74" "Compound 8" "Study 37" "marmoset" 13 "60" "day" "liver" "hepatocyte glycogen vacuolation" "no" "NA" "NA"
"75" "Compound 8" "Study 38" "dog" 4 "2" "day" "thymus gland" "involution, atrophy" "no" "NA" "NA"
"76" "Compound 8" "Study 38" "dog" 4 "8" "day" "thymus gland" "marked-involution, marked-atrophy" "no" "NA" "NA"
"77" "Compound 8" "Study 38" "dog" 4 "8-10-12-14-16-12" "day" "thymus gland" "marked-involution, marked-atrophy" "no" "NA" "NA"
"78" "Compound 9" "Study 40" "rat" 26 "100" "day" "liver" "hepatocyte hypertrophy, hepatocyte vacuolation, lipid accumulation" "no" "r" "NA"
"79" "Compound 9" "Study 40" "rat" 26 "300" "day" "liver" "hepatocyte hypertrophy, hepatocyte vacuolation, lipid accumulation" "no" "r" "NA"
"80" "Compound 9" "Study 40" "rat" 26 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"81" "Compound 9" "Study 40" "rat" 26 "300" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"82" "Compound 9" "Study 40" "rat" 16 "100" "day" "liver" "hepatocyte hypertrophy, hepatocyte vacuolation, lipid accumulation" "no" "NA" "NA"
"83" "Compound 9" "Study 40" "rat" 16 "300" "day" "liver" "hepatocyte hypertrophy, hepatocyte vacuolation, lipid accumulation" "no" "NA" "NA"
"84" "Compound 9" "Study 40" "rat" 16 "30" "day" "liver" "lipid accumulation" "no" "NA" "NA"
"85" "Compound 9" "Study 40" "rat" 16 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "NA" "NA"
"86" "Compound 9" "Study 40" "rat" 16 "300" "day" "thyroid gland" "follicular hypertrophy" "no" "NA" "NA"
"87" "Compound 9" "Study 41" "mouse" 16 "500" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"88" "Compound 9" "Study 41" "mouse" 16 "1000" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"89" "Compound 9" "Study 43" "dog" 4 "100/75" "day" "thymus gland" "minimal-involution, minimal-atrophy" "no" "nr" "NA"
"90" "Compound 9" "Study 43" "dog" 4 "100/75" "day" "liver" "slight-hemosiderin, foamy/granular macrophages" "no" "nr" "NA"
"91" "Compound 9" "Study 43" "dog" 4 "50" "day" "liver" "slight-hemosiderin, foamy/granular macrophages" "no" "nr" "NA"
"92" "Compound 9" "Study 43" "dog" 4 "100/75" "day" "spleen" "slight-hemosiderin" "no" "nr" "NA"
"93" "Compound 9" "Study 44" "rat" 4 "300" "day" "liver" "mild-hepatocyte hypertrophy, hepatocyte vacuolation,lipid accumulation" "no" "r" "NA"
"94" "Compound 9" "Study 44" "rat" 4 "300" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "secondary"
"95" "Compound 10" "Study 46" "rat" 26 "50" "day" "spleen" "mild-extramedullary hematopoiesis, mild-hemosiderin" "no" "r" "NA"
"96" "Compound 10" "Study 46" "rat" 26 "150" "day" "spleen" "mild-extramedullary hematopoiesis, mild-hemosiderin" "no" "r" "NA"
"97" "Compound 10" "Study 46" "rat" 26 "500" "day" "spleen" "mild-extramedullary hematopoiesis, mild-hemosiderin" "no" "r" "NA"
"98" "Compound 10" "Study 46" "rat" 26 "50" "day" "liver" "moderate-hepatocyte hypertrophy,  kupffer cell vacuolation" "no" "r" "NA"
"99" "Compound 10" "Study 46" "rat" 26 "150" "day" "liver" "moderate-hepatocyte hypertrophy,  kupffer cell vacuolation" "no" "r" "NA"
"100" "Compound 10" "Study 46" "rat" 26 "500" "day" "liver" "moderate-hepatocyte hypertrophy,  kupffer cell vacuolation" "no" "r" "NA"
"101" "Compound 10" "Study 46" "rat" 13 "50" "day" "spleen" "mild-extramedullary hematopoiesis, mild-hemosiderin" "no" "NA" "NA"
"102" "Compound 10" "Study 46" "rat" 13 "150" "day" "spleen" "mild-extramedullary hematopoiesis, mild-hemosiderin" "no" "NA" "NA"
"103" "Compound 10" "Study 46" "rat" 13 "500" "day" "spleen" "mild-extramedullary hematopoiesis, mild-hemosiderin" "no" "NA" "NA"
"104" "Compound 10" "Study 46" "rat" 13 "150" "day" "liver" "moderate-hepatocyte hypertrophy" "no" "NA" "NA"
"105" "Compound 10" "Study 46" "rat" 13 "500" "day" "liver" "moderate-hepatocyte hypertrophy" "no" "NA" "NA"
"106" "Compound 10" "Study 47" "rat" 4 "500" "day" "stomach" "erosion/ulceration,inflammation, epithelial hyperplasia, hyperkeratosis,  submucosa edema" "yes" "NA" "NA"
"107" "Compound 10" "Study 47" "rat" 4 "500" "day" "kidney" "increased hyaline droplets" "no" "NA" "NA"
"108" "Compound 11" "Study 49" "rat" 26 "0.10000000000000001" "day" "ileum" "distension" "no" "r" "NA"
"109" "Compound 11" "Study 49" "rat" 26 "0.25" "day" "ileum" "distension" "no" "r" "NA"
"110" "Compound 11" "Study 49" "rat" 26 "0.5" "day" "ileum" "distension" "no" "r" "NA"
"111" "Compound 11" "Study 49" "rat" 26 "0.25" "day" "colon" "distension" "no" "r" "NA"
"112" "Compound 11" "Study 49" "rat" 26 "0.5" "day" "colon" "distension" "no" "r" "NA"
"113" "Compound 11" "Study 49" "rat" 26 "0.10000000000000001" "day" "spleen" "decreased hematopoiesis" "no" "r" "NA"
"114" "Compound 11" "Study 49" "rat" 26 "0.25" "day" "spleen" "decreased hematopoiesis" "no" "r" "NA"
"115" "Compound 11" "Study 49" "rat" 26 "0.5" "day" "spleen" "decreased hematopoiesis" "no" "r" "NA"
"116" "Compound 11" "Study 49" "rat" 26 "0.10000000000000001" "day" "mesentery" "white adipose tissue atrophy" "no" "r" "NA"
"117" "Compound 11" "Study 49" "rat" 26 "0.25" "day" "mesentery" "white adipose tissue atrophy" "no" "r" "NA"
"118" "Compound 11" "Study 49" "rat" 26 "0.5" "day" "mesentery" "white adipose tissue atrophy" "no" "r" "NA"
"119" "Compound 11" "Study 49" "rat" 26 "0.5" "day" "skin" "subcutaneous adipose tissue atrophy" "no" "r" "NA"
"120" "Compound 11" "Study 49" "rat" 26 "0.10000000000000001" "day" "vagina" "increased mucification" "no" "r" "NA"
"121" "Compound 11" "Study 49" "rat" 26 "0.25" "day" "vagina" "increased mucification" "no" "r" "NA"
"122" "Compound 11" "Study 49" "rat" 26 "0.5" "day" "vagina" "increased mucification" "no" "r" "NA"
"123" "Compound 11" "Study 49" "rat" 26 "0.5" "day" "liver" "hepatocyte glycogen vacuolation, lipid depletion,hepatocyte glycogen accumulation" "no" "r" "NA"
"124" "Compound 11" "Study 49" "rat" 26 "0.25" "day" "liver" "hepatocyte glycogen accumulation" "no" "r" "NA"
"125" "Compound 11" "Study 49" "rat" 26 "0.10000000000000001" "day" "gland,brunner's" "increased secretory content" "no" "r" "NA"
"126" "Compound 11" "Study 49" "rat" 26 "0.25" "day" "gland,brunner's" "increased secretory content" "no" "r" "NA"
"127" "Compound 11" "Study 49" "rat" 26 "0.5" "day" "gland,brunner's" "increased secretory content" "no" "r" "NA"
"128" "Compound 11" "Study 51" "rat" 13 "0.29999999999999999" "day" "gastrointestinal tract" "dilation" "no" "r" "secondary"
"129" "Compound 11" "Study 51" "rat" 13 "1" "day" "gastrointestinal tract" "dilation" "no" "r" "secondary"
"130" "Compound 11" "Study 51" "rat" 13 "3" "day" "gastrointestinal tract" "dilation" "no" "r" "secondary"
"131" "Compound 11" "Study 51" "rat" 13 "1" "day" "skin" "subcutaneous adipose tissue atrophy" "yes" "r" "secondary"
"132" "Compound 11" "Study 51" "rat" 13 "1" "day" "mesentery" "adipose tissue atrophy" "yes" "r" "secondary"
"133" "Compound 11" "Study 51" "rat" 13 "1" "day" "muscle,skeletal" "atrophy, myopathy, inflammation" "yes" "tr" "secondary"
"134" "Compound 11" "Study 51" "rat" 13 "1" "day" "bone" "atrophy" "yes" "r" "secondary"
"135" "Compound 11" "Study 51" "rat" 13 "1" "day" "bone marrow" "hypocellularity" "yes" "r" "secondary"
"136" "Compound 11" "Study 51" "rat" 13 "1" "day" "spleen" "atrophy, extramedullary hematopoiesis" "yes" "r" "secondary"
"137" "Compound 11" "Study 51" "rat" 13 "1" "day" "lymph node" "atrophy, plasmocytosis" "yes" "r" "secondary"
"138" "Compound 11" "Study 51" "rat" 13 "1" "day" "mammary gland" "atrophy" "yes" "tr" "secondary"
"139" "Compound 11" "Study 51" "rat" 13 "1" "day" "salivary gland" "atrophy" "yes" "r" "secondary"
"140" "Compound 11" "Study 51" "rat" 13 "1" "day" "adrenal gland" "cortical atrophy" "yes" "r" "secondary"
"141" "Compound 11" "Study 51" "rat" 13 "1" "day" "female reproductive system" "atrophy" "yes" "r" "secondary"
"142" "Compound 11" "Study 51" "rat" 13 "1" "day" "male reproductive system" "atrophy" "yes" "r" "secondary"
"143" "Compound 11" "Study 51" "rat" 13 "3" "day" "skin" "subcutaneous adipose tissue atrophy" "yes" "r" "secondary"
"144" "Compound 11" "Study 51" "rat" 13 "3" "day" "mesentery" "adipose tissue atrophy" "yes" "r" "secondary"
"145" "Compound 11" "Study 51" "rat" 13 "3" "day" "muscle,skeletal" "atrophy, myopathy, inflammation" "yes" "tr" "secondary"
"146" "Compound 11" "Study 51" "rat" 13 "3" "day" "bone" "atrophy" "yes" "r" "secondary"
"147" "Compound 11" "Study 51" "rat" 13 "3" "day" "bone marrow" "hypocellularity" "yes" "r" "secondary"
"148" "Compound 11" "Study 51" "rat" 13 "3" "day" "spleen" "atrophy, extramedullary hematopoiesis" "yes" "r" "secondary"
"149" "Compound 11" "Study 51" "rat" 13 "3" "day" "lymph node" "atrophy, plasmocytosis" "yes" "r" "secondary"
"150" "Compound 11" "Study 51" "rat" 13 "3" "day" "mammary gland" "atrophy" "yes" "tr" "secondary"
"151" "Compound 11" "Study 51" "rat" 13 "3" "day" "salivary gland" "atrophy" "yes" "r" "secondary"
"152" "Compound 11" "Study 51" "rat" 13 "3" "day" "adrenal gland" "cortical atrophy" "yes" "r" "secondary"
"153" "Compound 11" "Study 51" "rat" 13 "3" "day" "female reproductive system" "atrophy" "yes" "r" "secondary"
"154" "Compound 11" "Study 51" "rat" 13 "3" "day" "male reproductive system" "atrophy" "yes" "r" "secondary"
"155" "Compound 11" "Study 51" "rat" 13 "1" "day" "pancreas" "zymogen depletion" "no" "r" "secondary"
"156" "Compound 11" "Study 51" "rat" 13 "3" "day" "pancreas" "zymogen depletion" "no" "r" "secondary"
"157" "Compound 11" "Study 51" "rat" 13 "1" "day" "gland,brunner's" "increased secretory content" "no" "r" "secondary"
"158" "Compound 11" "Study 51" "rat" 13 "3" "day" "gland,brunner's" "increased secretory content" "no" "r" "secondary"
"159" "Compound 11" "Study 51" "rat" 13 "1" "day" "liver" "iinflammation, hepatocyte glycogen vacuolation" "no" "r" "secondary"
"160" "Compound 11" "Study 51" "rat" 13 "3" "day" "liver" "iinflammation, hepatocyte glycogen vacuolation" "no" "r" "secondary"
"161" "Compound 11" "Study 51" "rat" 13 "0.29999999999999999" "day" "liver" "hepatocyte glycogen vacuolation" "no" "r" "secondary"
"162" "Compound 11" "Study 51" "rat" 13 "0.29999999999999999" "day" "lung" "foamy/granular macrophages" "no" "r" "secondary"
"163" "Compound 11" "Study 51" "rat" 13 "1" "day" "lung" "foamy/granular macrophages" "no" "r" "secondary"
"164" "Compound 11" "Study 51" "rat" 13 "3" "day" "lung" "foamy/granular macrophages" "no" "r" "secondary"
"165" "Compound 11" "Study 51" "rat" 13 "0.29999999999999999" "day" "injection site" "inflammation" "no" "r" "NA"
"166" "Compound 11" "Study 51" "rat" 13 "1" "day" "injection site" "inflammation" "no" "r" "NA"
"167" "Compound 11" "Study 51" "rat" 13 "3" "day" "injection site" "inflammation" "no" "r" "NA"
"168" "Compound 11" "Study 52" "cynomolgus" 8 "1" "day" "mesentery" "adipose tissue atrophy" "no" "r" "NA"
"169" "Compound 11" "Study 52" "cynomolgus" 8 "1" "day" "heart" "adipose tissue atrophy" "no" "r" "NA"
"170" "Compound 11" "Study 52" "cynomolgus" 8 "1" "day" "bone marrow" "adipose tissue atrophy" "no" "r" "NA"
"171" "Compound 11" "Study 52" "cynomolgus" 8 "1" "day" "injection site" "adipose tissue atrophy" "no" "r" "NA"
"172" "Compound 11" "Study 52" "cynomolgus" 8 "0.3/0.15" "day" "mesentery" "adipose tissue atrophy" "no" "r" "NA"
"173" "Compound 11" "Study 52" "cynomolgus" 8 "0.3/0.15" "day" "heart" "adipose tissue atrophy" "no" "r" "NA"
"174" "Compound 11" "Study 52" "cynomolgus" 8 "0.3/0.15" "day" "bone marrow" "adipose tissue atrophy" "no" "r" "NA"
"175" "Compound 11" "Study 52" "cynomolgus" 8 "0.3/0.15" "day" "injection site" "adipose tissue atrophy" "no" "r" "NA"
"176" "Compound 11" "Study 52" "cynomolgus" 8 "0.050000000000000003" "day" "mesentery" "adipose tissue atrophy" "no" "r" "NA"
"177" "Compound 11" "Study 52" "cynomolgus" 8 "0.050000000000000003" "day" "heart" "adipose tissue atrophy" "no" "r" "NA"
"178" "Compound 11" "Study 52" "cynomolgus" 8 "0.050000000000000003" "day" "bone marrow" "adipose tissue atrophy" "no" "r" "NA"
"179" "Compound 11" "Study 52" "cynomolgus" 8 "0.050000000000000003" "day" "injection site" "adipose tissue atrophy" "no" "r" "NA"
"180" "Compound 11" "Study 52" "cynomolgus" 8 "1" "day" "liver" "hepatocyte glycogen depletion" "no" "r" "NA"
"181" "Compound 11" "Study 52" "cynomolgus" 8 "0.3/0.15" "day" "liver" "hepatocyte glycogen depletion" "no" "r" "NA"
"182" "Compound 11" "Study 52" "cynomolgus" 8 "0.050000000000000003" "day" "liver" "hepatocyte glycogen depletion" "no" "r" "NA"
"183" "Compound 11" "Study 52" "cynomolgus" 8 "1" "day" "injection site" "infiltrate" "no" "r" "NA"
"184" "Compound 11" "Study 52" "cynomolgus" 8 "1" "day" "thymus gland" "atrophy, involution" "no" "nr" "secondary"
"185" "Compound 11" "Study 52" "cynomolgus" 8 "0.3/0.15" "day" "thymus gland" "atrophy, involution" "no" "r" "secondary"
"186" "Compound 11" "Study 52" "cynomolgus" 8 "0.050000000000000003" "day" "thymus gland" "atrophy, involution" "no" "r" "secondary"
"187" "Compound 11" "Study 53" "mouse" 4 "0.29999999999999999" "day" "liver" "minimal-hepatocyte hypertrophy,minimal- lipid depletion" "no" "r" "NA"
"188" "Compound 11" "Study 53" "mouse" 4 "1" "day" "liver" "minimal-hepatocyte hypertrophy,minimal- lipid depletion" "no" "r" "NA"
"189" "Compound 11" "Study 53" "mouse" 4 "0.10000000000000001" "day" "gallbladder" "distension, minimal-inflammation" "no" "r" "secondary"
"190" "Compound 11" "Study 53" "mouse" 4 "0.29999999999999999" "day" "gallbladder" "distension, minimal-inflammation" "no" "r" "secondary"
"191" "Compound 11" "Study 53" "mouse" 4 "1" "day" "gallbladder" "distension, minimal-inflammation" "no" "r" "secondary"
"192" "Compound 11" "Study 53" "mouse" 4 "0.10000000000000001" "day" "stomach" "hyperkeratosis" "no" "r" "secondary"
"193" "Compound 11" "Study 53" "mouse" 4 "0.29999999999999999" "day" "stomach" "hyperkeratosis" "no" "r" "secondary"
"194" "Compound 11" "Study 53" "mouse" 4 "1" "day" "stomach" "hyperkeratosis" "no" "r" "secondary"
"195" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "adrenal gland" "adipocyte accumulation" "no" "NA" "NA"
"196" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "adrenal gland" "adipocyte accumulation" "yes" "NA" "NA"
"197" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "adrenal gland" "adipocyte accumulation" "yes" "NA" "NA"
"198" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "parathyroid gland" "adipocyte accumulation" "no" "NA" "NA"
"199" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "parathyroid gland" "adipocyte accumulation" "yes" "NA" "NA"
"200" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "parathyroid gland" "adipocyte accumulation" "yes" "NA" "NA"
"201" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "thyroid gland" "adipocyte accumulation" "no" "NA" "NA"
"202" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "thyroid gland" "adipocyte accumulation, follicular distension" "yes" "NA" "NA"
"203" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "thyroid gland" "adipocyte accumulation, follicular distension" "yes" "NA" "NA"
"204" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "salivary gland" "adipocyte accumulation" "no" "NA" "NA"
"205" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "salivary gland" "adipocyte accumulation" "yes" "NA" "NA"
"206" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "salivary gland" "adipocyte accumulation" "yes" "NA" "NA"
"207" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "heart" "adipocyte accumulation" "no" "NA" "NA"
"208" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "heart" "adipocyte accumulation, interstitial expansion" "yes" "NA" "NA"
"209" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "heart" "adipocyte accumulation, interstitial expansion, cardiomyocyte hypertrophy" "yes" "NA" "NA"
"210" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "bone marrow" "adipocyte accumulation, hypocellularity" "no" "NA" "NA"
"211" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "bone marrow" "adipocyte accumulation, hypocellularity" "yes" "NA" "NA"
"212" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "bone marrow" "adipocyte accumulation, hypocellularity" "yes" "NA" "NA"
"213" "Compound 12" "Study 54" "cynomolgus" 52 "0.29999999999999999" "day" "skin" "adipocyte accumulation" "no" "NA" "NA"
"214" "Compound 12" "Study 54" "cynomolgus" 52 "3" "day" "skin" "adipocyte accumulation" "yes" "NA" "NA"
"215" "Compound 12" "Study 54" "cynomolgus" 52 "10" "day" "skin" "adipocyte accumulation" "yes" "NA" "NA"
