"study_id" "identifier" "therapeutic_area" "type" "route_of_administration" "species" "duration" "dose" "pre_treatment" "dose_interval" "dose_lethality" "noael" "noael_sex" "adverse_findings" "body_weight" "body_weight_gain" "death_diagnosis" "neurological_clinical_signs" "git_clinical_signs" "other_clinical_signs" "lab_measurements" "macroscopic" "macroscopic_target" "pathology" "organ_weight" "organ_weight_target" "cardiovascular_effects"
"15" "Study 4" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "mouse" 16 "25" "NA" "bi weekly" "NA" "no" "NA" "no" "yes-fluctuations-r" "no" "no" "no" "no" "no" "no" "yes-skin thickening-na, yes-skin lesions-na" "injection site,injection site" "yes" "no" "no" "no"
"16" "Study 4" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "mouse" 16 "50" "NA" "bi weekly" "NA" "yes" "both" "no" "yes-fluctuations-r" "no" "no" "no" "no" "no" "no" "yes-skin thickening-na, yes-skin lesions-na" "injection site,injection site" "yes" "no" "no" "no"
"17" "Study 5" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 6 "0" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"18" "Study 5" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 6 "5" "NA" "bi weekly" "NA" "no" "NA" "no" "yes-moderate-decrease-tr" "yes-decrease-tr" "no" "yes-hypoactivity-r, yes-abnormal posture-r" "no" "yes-morbidity-r" "no" "yes-skin thickening-tr, yes-skin lesions-tr" "injection site,injection site" "yes" "no" "no" "no"
"19" "Study 5" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 6 "10" "NA" "bi weekly" "NA" "no" "NA" "no" "yes-moderate-decrease-tr" "yes-decrease-tr" "no" "yes-hypoactivity-r, yes-abnormal posture-r" "no" "yes-morbidity-r" "no" "yes-skin thickening-tr, yes-skin lesions-tr" "injection site,injection site" "yes" "no" "no" "no"
"20" "Study 5" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 6 "25" "NA" "bi weekly" "NA" "yes" "both" "no" "yes-moderate-decrease-tr" "no" "no" "yes-hypoactivity-r, yes-abnormal posture-r" "no" "yes-morbidity-r" "no" "yes-skin thickening-tr, yes-skin lesions-tr" "injection site,injection site" "yes" "no" "no" "no"
"21" "Study 6" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 6 "0" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"22" "Study 6" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 6 "10" "NA" "bi weekly" "NA" "no" "NA" "no" "yes-moderate-decrease-r" "no" "no" "no" "no" "no" "no" "yes-skin thickening-na, yes-skin lesions-na" "injection site,injection site" "yes" "no" "no" "no"
"23" "Study 6" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 6 "25" "NA" "bi weekly" "NA" "no" "NA" "no" "yes-moderate-decrease-r" "no" "no" "no" "no" "no" "no" "yes-skin thickening-na, yes-skin lesions-na" "injection site,injection site" "yes" "no" "no" "no"
"24" "Study 6" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 6 "50" "NA" "bi weekly" "NA" "yes" "both" "no" "yes-moderate-decrease-r" "no" "no" "no" "no" "no" "no" "yes-skin thickening-na, yes-skin lesions-na" "injection site,injection site" "yes" "no" "no" "no"
"25" "Study 7" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"26" "Study 7" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"27" "Study 7" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "20" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"28" "Study 7" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 26 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"29" "Study 8" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 13 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"30" "Study 8" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 13 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"31" "Study 8" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 13 "20" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"32" "Study 8" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 13 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"33" "Study 9" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"34" "Study 9" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 4 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"35" "Study 9" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 4 "20" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"36" "Study 9" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 4 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"37" "Study 10" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"38" "Study 10" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-na" "no" "no" "no" "no" "no" "no"
"39" "Study 10" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "20" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-na" "no" "no" "no" "no" "no" "no"
"40" "Study 10" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "rat" 4 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "yes-na" "no" "no" "no" "no" "no" "no"
"41" "Study 11" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"42" "Study 11" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "20-May" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-na" "no" "no" "no" "no" "no" "no"
"43" "Study 11" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "100/20" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-na" "no" "no" "no" "no" "no" "no"
"44" "Study 11" "Compound 2" "Cardiovascular and Metabolism" "sm" "oral gavage" "cynomolgus" 52 "150/100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "yes-na" "no" "no" "no" "no" "no" "no"
"45" "Study 12" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 39 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"46" "Study 12" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 39 "25" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"47" "Study 12" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 39 "100" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"48" "Study 12" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 39 "400" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"49" "Study 13" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "rat" 26 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"50" "Study 13" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "rat" 26 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"51" "Study 13" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "rat" 26 "25" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "yes-abnormal gait-na" "yes-mouth rubbing-na, yes-salivation-na" "no" "yes-na" "yes-increase-r" "liver" "yes" "yes-increase-r" "liver" "no"
"52" "Study 13" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "rat" 26 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "yes-abnormal gait-na" "yes-mouth rubbing-na, yes-salivation-na" "no" "yes-na" "yes-increase-r, yes-increase-r, yes-increase-r" "liver, thyroid gland, parathyroid gland" "yes" "yes- increase-r, yes-increase-r, yes-increase-r" "liver, thyroid gland, parathyroid gland" "no"
"53" "Study 14" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "rat" 13 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"54" "Study 14" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "rat" 13 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"55" "Study 14" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "rat" 13 "25" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "yes-mouth rubbing-na, yes-salivation-na" "no" "no" "yes-increase-r" "liver" "no" "yes- increase-r" "liver" "no"
"56" "Study 14" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "rat" 13 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "yes-abnormal gait-na" "yes-mouth rubbing-na, yes-salivation-na" "no" "yes-r" "yes-increase-r" "liver" "yes" "yes- increase-r, yes-increase-r, yes-increase-r" "liver, thyroid gland, parathyroid gland" "no"
"57" "Study 15" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 13 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"58" "Study 15" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 13 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"59" "Study 15" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 13 "20" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"60" "Study 15" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 13 "200" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"61" "Study 16" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"62" "Study 16" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 4 "5" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "no" "no" "no"
"63" "Study 16" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 4 "20" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "no" "no" "no"
"64" "Study 16" "Compound 3" "Immunology and Inflammation" "sm" "oral gavage" "cynomolgus" 4 "100" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "no" "no" "no"
"65" "Study 17" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 39 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"66" "Study 17" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 39 "30" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"67" "Study 17" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 39 "100" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "yes-r" "no" "no" "no" "no" "no" "no"
"68" "Study 17" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 39 "300" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "yes-salivation-r" "no" "yes-r" "no" "no" "yes" "no" "no" "no"
"69" "Study 18" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 26 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"70" "Study 18" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 26 "50 male & 10 female" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "yes-salivation-r" "no" "no" "no" "no" "no" "no" "no" "no"
"71" "Study 18" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 26 "150 male & 30 female" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "yes-salivation-r" "no" "no" "yes-increase-r,yes-discoloration-r, yes-increase-r" "liver,liver, thyroid gland" "yes" "yes- increase-r, yes-increase-r" "liver, thyroid gland" "no"
"72" "Study 18" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 26 "300 male & 60 female" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "yes-salivation-r" "no" "no" "yes-increase-r,yes-discoloration-r, yes-increase-r" "liver,liver, thyroid gland" "yes" "yes- increase-r, yes-increase-r" "liver, thyroid gland" "no"
"73" "Study 19" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 8 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"74" "Study 19" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 8 "30 male & 10 female" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "yes-abnormal behavior-r" "yes- clear oral discharge-r, yes-cloudy oral discharge-r, yes-red oral discharge-r" "no" "no" "no" "no" "no" "no" "no" "no"
"75" "Study 19" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 8 "100 male & 30 female" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "yes-abnormal behavior-r" "yes- clear oral discharge-r, yes-cloudy oral discharge-r, yes-red oral discharge-r" "yes-abnormal haircoat-r" "no" "no" "no" "yes" "no" "no" "no"
"76" "Study 19" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 8 "400 male & 150 female" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "yes-abnormal behavior-r" "yes- clear oral discharge-r, yes-cloudy oral discharge-r, yes-red oral discharge-r" "yes-abnormal haircoat-r" "yes-r" "no" "no" "yes" "yes- increase-r, yes-increase-r, yes-increase-r" "liver, thyroid gland, parathyroid gland" "no"
"77" "Study 20" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 8 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"78" "Study 20" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 8 "30" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "yes-vomitus-r" "no" "no" "no" "no" "no" "no" "no" "no"
"79" "Study 20" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 8 "100" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "yes-vomitus-r" "no" "no" "no" "no" "no" "no" "no" "no"
"80" "Study 20" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 8 "300" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "yes-vomitus-r" "no" "no" "no" "no" "no" "no" "no" "no"
"81" "Study 21" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"82" "Study 21" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 4 "30" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"83" "Study 21" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 4 "100" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "yes-salivation-na" "no" "no" "no" "no" "yes" "yes-increase-na" "liver" "no"
"84" "Study 21" "Compound 4" "Ophthalmology" "sm" "oral gavage" "rat" 4 "600" "NA" "day" "NA" "yes" "both" "no" "no" "yes-slight-increase-na" "no" "no" "yes-salivation-na" "no" "yes-na" "no" "no" "yes" "yes-increase-na" "liver" "no"
"85" "Study 22" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"86" "Study 22" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 4 "30" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"87" "Study 22" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 4 "100" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"88" "Study 22" "Compound 4" "Ophthalmology" "sm" "oral gavage" "cynomolgus" 4 "300" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"89" "Study 23" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "minipig" 39 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"90" "Study 23" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "minipig" 39 "75" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"91" "Study 23" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "minipig" 39 "160" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"92" "Study 23" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "minipig" 39 "250" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes-increase-na" "thyroid gland" "no"
"93" "Study 24" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "rat" 26 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"94" "Study 24" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "rat" 26 "25" "NA" "day" "NA" "no" "NA" "no" "no" "yes-minimal-increase-r" "no" "yes-abnormal gait-r" "yes-salivation-r, yes-mouth rubbing-r" "no" "no" "no" "no" "no" "no" "no" "no"
"95" "Study 24" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "rat" 26 "55" "NA" "day" "NA" "no" "NA" "no" "no" "yes-minimal-increase-r" "no" "yes-abnormal gait-r" "yes-salivation-r, yes-mouth rubbing-r" "no" "no" "no" "no" "no" "no" "no" "no"
"96" "Study 24" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "rat" 26 "120" "NA" "day" "NA" "yes" "both" "no" "no" "yes-minimal-increase-r" "no" "yes-abnormal gait-r" "yes-salivation-r, yes-mouth rubbing-r" "no" "no" "no" "no" "no" "no" "no" "no"
"97" "Study 25" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "minipig" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"98" "Study 25" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "minipig" 4 "50" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"99" "Study 25" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "minipig" 4 "120" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"100" "Study 25" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "minipig" 4 "350" "NA" "day" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "yes-minimal-increase-r" "thyroid gland" "no"
"101" "Study 26" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "rat" 4 "0" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"102" "Study 26" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "rat" 4 "15" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"103" "Study 26" "Compound 5" "Infectious Diseases and Virology" "sm" "oral gavage" "rat" 4 "75" "NA" "day" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
